,1,2,3,4,5,6,7,8,9,10,11,12
 A ,,R2 T5 P21 Phalloidin-647 + ConA-594 ,R3 T4 P18 Phalloidin-647 + ConA-594 ,R4 T3 P15 Phalloidin-647 + ConA-594  ,R5 T2 P13 Phalloidin-647 + ConA-594 ,R6 T1 P10 Phalloidin-647 + ConA-594 ,R7 T0 P8 Phalloidin-647 + ConA-594  ,,,,,
 B ,,R2 T5 P21 LAMP1-488 + MitoRed ,R3 T4 P18 LAMP1-488 + MitoRed ,R4 T3 P15 LAMP1-488 + MitoRed ,R5 T2 P13 LAMP1-488 + MitoRed ,R6 T1 P10 LAMP1-488 + MitoRed ,R7 T0 P8 LAMP1-488 + MitoRed ,,,,,
 C ,,R2 T5 P21 LAMP1-488 + MitoRed ,R3 T4 P18 LAMP1-488 + MitoRed ,R4 T3 P15 LAMP1-488 + MitoRed ,R5 T2 P13 LAMP1-488 + MitoRed ,R6 T1 P10 LAMP1-488 + MitoRed ,R7 T0 P8 LAMP1-488 + MitoRed ,,,,,
 D ,,R2 T5 P21 LAMP1-488 + MitoRed ,R3 T4 P18 LAMP1-488 + MitoRed ,R4 T3 P15 LAMP1-488 + MitoRed ,R5 T2 P13 LAMP1-488 + MitoRed ,R6 T1 P10 LAMP1-488 + MitoRed ,R7 T0 P8 LAMP1-488 + MitoRed ,,,,,
 E ,,R2 T5 P21 LAMP1-488 + MitoRed ,R3 T4 P18 LAMP1-488 + MitoRed ,R4 T3 P15 LAMP1-488 + MitoRed ,R5 T2 P13 LAMP1-488 + MitoRed ,R6 T1 P10 LAMP1-488 + MitoRed ,R7 T0 P8 LAMP1-488 + MitoRed ,,,,,
 F ,,R2 T5 P21 LAMP1-488 + MitoRed ,R3 T4 P18 LAMP1-488 + MitoRed ,R4 T3 P15 LAMP1-488 + MitoRed ,R5 T2 P13 LAMP1-488 + MitoRed ,R6 T1 P10 LAMP1-488 + MitoRed ,R7 T0 P8 LAMP1-488 + MitoRed ,,,,,
 G ,,R2 T5 P21 LAMP1-488 + MitoRed ,R3 T4 P18 LAMP1-488 + MitoRed ,R4 T3 P15 LAMP1-488 + MitoRed ,R5 T2 P13 LAMP1-488 + MitoRed ,R6 T1 P10 LAMP1-488 + MitoRed ,R7 T0 P8 LAMP1-488 + MitoRed ,,,,,
 H ,,R2 T5 P21 Phalloidin-647 + WGA-647 + ConA-594 ,R3 T4 P18 Phalloidin-647 + WGA-647 + ConA-594 ,R4 T3 P15 Phalloidin-647 + WGA-647 + ConA-594 ,R5 T2 P13 Phalloidin-647 + WGA-647 + ConA-594 ,R6 T1 Phalloidin-647 + WGA-647 + ConA-594 ,R7 T0 P8 Phalloidin-647 + WGA-647 + ConA-594 ,,,,,
